tau alpha beta logZsun
1.299235621587666145e+01 5.008148025921162372e+01 2.122985741600940113e+00 1.669521950835415325e-01
1.299484515630502024e+01 5.222718434323689252e+01 2.608432794005065780e+00 2.087950699466514237e-01
1.299729173539044425e+01 5.103552692906782795e+01 2.254054800893209975e+00 1.798314408797434538e-01
1.299904196539386625e+01 5.232018373582506143e+01 2.542553750670567769e+00 2.079676321327799116e-01
1.299394342565029348e+01 5.170077863695799891e+01 2.415291759780599179e+00 1.889544642091864901e-01
1.299832239742608309e+01 5.209529991895914236e+01 2.588945384258663829e+00 2.154398181973040671e-01
1.299795921812660282e+01 5.213310200376565717e+01 2.644261233832227109e+00 2.164390206198083533e-01
1.299703803549291692e+01 5.118835636442550197e+01 2.395883812209842034e+00 1.977640889322049844e-01
1.299640718359839653e+01 5.218983782422099438e+01 2.535193559463628343e+00 2.027595478345820545e-01
1.299768352481376077e+01 5.141621458877346384e+01 2.472798225565421504e+00 2.091106066960950471e-01
1.299905097433069123e+01 5.240652540067452492e+01 2.551125011563662337e+00 2.090828521686058927e-01
1.299394342565029348e+01 5.170077863695799891e+01 2.415291759780599179e+00 1.889544642091864901e-01
1.299641753610014305e+01 5.056737826054709473e+01 2.203784210206286343e+00 1.822406869089441273e-01
1.299563805763221325e+01 5.047533500039463661e+01 2.296522040643557361e+00 1.965392816733704251e-01
1.299261562589660102e+01 5.116405724838558200e+01 2.592520205106414011e+00 2.192698116642057826e-01
1.299855511092405358e+01 5.064965216629452271e+01 2.268992348653457114e+00 1.951848247040470774e-01
1.299813620977261408e+01 5.016139315938828247e+01 2.130112893499430449e+00 1.752153680987178497e-01
