weight logl t0 tau logZsun
0.000000000000000000e+00 -6.707421250000000000e+05 1.305583053577437447e+01 1.763471081919009975e-01 1.547112517987043745e-01
0.000000000000000000e+00 -6.665472500000000000e+05 1.151691657022954018e+01 2.446560580378020600e+00 1.275914287370785161e-01
0.000000000000000000e+00 -6.566898125000000000e+05 1.311656034599656451e+01 1.398231686152739961e-01 3.676004449550518416e-03
0.000000000000000000e+00 -6.543343125000000000e+05 9.700395713985820123e+00 2.266614741896465279e+00 -2.065899676188236445e+00
0.000000000000000000e+00 -6.535507500000000000e+05 1.092229500893163774e+01 9.100626298407544112e+00 2.979627679420504549e-02
0.000000000000000000e+00 -6.497341875000000000e+05 1.122130506800422012e+01 4.057278875267231300e+00 -2.153337108673150091e-01
0.000000000000000000e+00 -6.495550625000000000e+05 1.033610079921362335e+01 3.237716795989034946e+00 -1.407645368471603042e+00
0.000000000000000000e+00 -6.475813125000000000e+05 1.086487500833611541e+01 4.111501033361370183e+00 3.931076418409680251e-01
0.000000000000000000e+00 -6.461413750000000000e+05 1.248898435016378450e+01 3.413629088387438171e-01 -1.294707088009789953e+00
0.000000000000000000e+00 -6.440692500000000000e+05 1.094182506287368817e+01 5.938115295559902584e+00 1.001542516775453251e-01
0.000000000000000000e+00 -6.429407500000000000e+05 1.018112694979580546e+01 3.845038048800975439e+00 -1.374727104407221567e+00
0.000000000000000000e+00 -6.410217500000000000e+05 1.141164267127967946e+01 1.269216247878257375e+00 -1.301976305771824993e+00
0.000000000000000000e+00 -6.377562500000000000e+05 1.114958292925487626e+01 3.978660936627024025e+00 -3.169228733945370635e-01
