t0 tau logZsun
1.086948535263430848e+01 4.415255311904373592e-01 1.911607961509833586e-01
1.065030758469737826e+01 4.782579307887913078e-01 1.364488312412897031e-01
1.093762858222389944e+01 4.301159711262565466e-01 2.056405837751582588e-01
1.087368628215233812e+01 4.395994778580143980e-01 1.869361437244498880e-01
1.092012019681803281e+01 4.317172759771356616e-01 1.907734242349570231e-01
1.087829330695707242e+01 4.414956586156416618e-01 2.011082490127824585e-01
1.089384628837572144e+01 4.368639276694584739e-01 1.891179115878660610e-01
1.085423714856583999e+01 4.446638094974255662e-01 1.884669413445090314e-01
1.064220763334023623e+01 4.782840783196930512e-01 1.364125909573994377e-01
1.104700237757754167e+01 4.096394792664587170e-01 2.255006855728591830e-01
1.080831966972263203e+01 4.506901791220709885e-01 1.775381285102310969e-01
1.087777299979720880e+01 4.388363979794275838e-01 1.855297886352489378e-01
1.063881715468019884e+01 4.802917243081538667e-01 1.358718728917525098e-01
1.062020768619500011e+01 4.825664294309373048e-01 1.302156999168087026e-01
1.056430186964824181e+01 4.929589089897360998e-01 1.306381830644065545e-01
1.083604115640908105e+01 4.456729816509355513e-01 1.771690984189531193e-01
1.069967052009253905e+01 4.671395157939617349e-01 1.474516988121608030e-01
1.087899032215618256e+01 4.380630421346764503e-01 1.785800531488304088e-01
1.093801113407818626e+01 4.284805502947405809e-01 1.962781803490880606e-01
1.089034266983144050e+01 4.402499100430604106e-01 2.041929775498196875e-01
1.054142408055710511e+01 4.957177414224079315e-01 1.168554507326104996e-01
1.095453206218032705e+01 4.260080805446858077e-01 2.044319887302497030e-01
1.094691481731041449e+01 4.268589502696631954e-01 1.977434287758810250e-01
1.064680331152373149e+01 4.805917966438175148e-01 1.490703567266753460e-01
1.062498089159208270e+01 4.829194859518413652e-01 1.381727975734285963e-01
1.068711915136542245e+01 4.736399691524930677e-01 1.535479846157219441e-01
1.105150828139260710e+01 4.081983081934877911e-01 2.229462411844451708e-01
1.094244542902266559e+01 4.280550623609531979e-01 2.037632075023849687e-01
1.085737037708439701e+01 4.433514968730645767e-01 1.877246237953871244e-01
1.062708622182258367e+01 4.833272443116533035e-01 1.434480205936963237e-01
1.061539828746378156e+01 4.866751721861084512e-01 1.442054766762894680e-01
1.091244862433298835e+01 4.354378008718874926e-01 2.014253926467373113e-01
1.066561567483438289e+01 4.752945763584149885e-01 1.437901141221593626e-01
1.091892200657127177e+01 4.307529178868917952e-01 1.852438244920504573e-01
1.063801521139094675e+01 4.794829151964350999e-01 1.342863064257948658e-01
1.067859501780207054e+01 4.726689286262547585e-01 1.470624043469692666e-01
1.069548901833945642e+01 4.728185402331046561e-01 1.624486125734323494e-01
1.064846292347789714e+01 4.763571369479933648e-01 1.312047096443986760e-01
1.090359845332472055e+01 4.360804433487054377e-01 1.985307274054317617e-01
1.093801113407818626e+01 4.284805502947405809e-01 1.962781803490880606e-01
1.093361570834854923e+01 4.293831743853885885e-01 1.968603888439743876e-01
1.089189680803576188e+01 4.384074844652647296e-01 1.992994999746620088e-01
1.089276161821483058e+01 4.367854247141076396e-01 1.866884731561904154e-01
1.087509103245550079e+01 4.413290315505210004e-01 1.885781361563383385e-01
1.067988170696219541e+01 4.740309738649144400e-01 1.547503975174722157e-01
1.067175267021206153e+01 4.760023445053275237e-01 1.520999154995386071e-01
