weight logl t0 tau logZsun
0.000000000000000000e+00 -1.118723375000000000e+06 9.592870809594280512e-01 7.209051270129083200e-01 5.786021119443037763e-01
0.000000000000000000e+00 -1.107657875000000000e+06 9.902619856966686784e-01 4.108236196400805174e-02 7.214078385863520460e-01
0.000000000000000000e+00 -1.106613375000000000e+06 8.905755368647924053e-01 6.428038948445752299e-01 2.516083983450282391e-01
0.000000000000000000e+00 -1.101074500000000000e+06 8.957331805640867950e-01 9.552658607627062537e-01 3.584680510345834570e-01
0.000000000000000000e+00 -1.094946375000000000e+06 8.588995375967342083e-01 6.643268383840374991e-01 1.198715259720858350e-01
0.000000000000000000e+00 -1.088075375000000000e+06 9.105320723462267951e-01 4.175954718008307864e-01 1.559925637963995859e-01
0.000000000000000000e+00 -1.084880125000000000e+06 9.375675767656062032e-01 7.321802818043088301e-01 8.480948162745312047e-01
0.000000000000000000e+00 -1.084243500000000000e+06 9.275172347151611207e-01 9.316044740691729054e-01 4.837773561549447709e-01
0.000000000000000000e+00 -1.069540250000000000e+06 8.630033187080399237e-01 9.196080485787648806e-01 2.829492189088217424e-01
0.000000000000000000e+00 -1.055786000000000000e+06 8.155191575620681643e-01 9.735557413838564766e-01 1.521297613993336517e-01
0.000000000000000000e+00 -1.047985500000000000e+06 9.795621617074090626e-01 1.459524832634198077e-01 7.173109814983416044e-01
0.000000000000000000e+00 -1.047753750000000000e+06 9.353292378079857139e-01 6.844463330382002386e-01 7.105118138924618743e-01
0.000000000000000000e+00 -1.045064250000000000e+06 9.278178257102721593e-01 8.740995928881071242e-01 7.170305760568320697e-01
0.000000000000000000e+00 -1.043496125000000000e+06 8.999295495867276617e-01 6.994297099561396225e-01 3.645723403503815518e-01
0.000000000000000000e+00 -1.038999750000000000e+06 8.584250193458820011e-01 5.810931767106174428e-01 9.571506247708183590e-02
0.000000000000000000e+00 -1.029480250000000000e+06 8.637943318054909225e-01 6.221128053285679416e-01 1.720194287834749813e-01
0.000000000000000000e+00 -1.014072562500000000e+06 7.760335355969472104e-01 9.784688886817043407e-01 1.002465294894525627e-01
0.000000000000000000e+00 -1.000989000000000000e+06 7.539521884942039787e-01 9.722917221070055405e-01 2.129179952854842739e-02
0.000000000000000000e+00 -9.986024375000000000e+05 9.262241305158885885e-01 7.138827697726700672e-01 5.197758474110724114e-01
0.000000000000000000e+00 -9.747475000000000000e+05 7.924911489684216548e-01 7.855332317902544714e-01 9.949447586966608803e-02
0.000000000000000000e+00 -9.723370625000000000e+05 8.466955184000046764e-01 7.817840377076297198e-01 2.774838821858185423e-01
0.000000000000000000e+00 -9.668355000000000000e+05 8.516002255354491179e-01 9.277134514413885036e-01 3.357897491770714948e-01
0.000000000000000000e+00 -9.580822500000000000e+05 9.581266245267162640e-01 3.256177473812027490e-01 5.463450604715369696e-01
0.000000000000000000e+00 -9.542925000000000000e+05 9.391924233429336244e-01 1.293208877605703799e-01 6.924197216547556266e-02
0.000000000000000000e+00 -9.489093750000000000e+05 9.004845440433705273e-01 8.269416151427158024e-01 8.952429087931585983e-01
0.000000000000000000e+00 -9.479938750000000000e+05 9.210799382283155756e-01 2.355829232164200482e-01 6.518044889881080550e-02
0.000000000000000000e+00 -9.459273750000000000e+05 8.815311174881805822e-01 4.413021273857997695e-01 1.124329429776800282e-01
0.000000000000000000e+00 -9.455063750000000000e+05 8.947989919313875662e-01 7.169298169406670418e-01 9.951092108027150829e-01
0.000000000000000000e+00 -9.417601250000000000e+05 9.181712084373019334e-01 8.520932801009782898e-01 6.436832074520081326e-01
0.000000000000000000e+00 -9.391822500000000000e+05 8.309566336644775841e-01 9.863286818241984166e-01 3.192948639547340539e-01
0.000000000000000000e+00 -9.386650000000000000e+05 9.197780111995811358e-01 5.509107705363301966e-01 9.308434876690740989e-01
0.000000000000000000e+00 -9.384618750000000000e+05 8.873526526205447462e-01 9.812026486330210906e-01 4.683996605474782804e-01
